Timestamp,FP1,FP2,O1,O2,C3,CZ,FZ,C4
186477.6750185,-87509.4453125,-122420.4609375,59817.42578125,-7567.72021484375,127515.6328125,86138.171875,-199028.375,78560.796875
186477.675071,-86905.953125,-121792.6015625,59680.09765625,-7559.44921875,127475.9296875,86099.546875,-198550.234375,78537.3203125
186477.6751076,-86559.5,-121366.125,59728.734375,-7170.7529296875,127513.484375,86123.6875,-198200.15625,78519.4453125
186477.6752164,-86783.015625,-121484.59375,59986.2265625,-6533.951171875,127600.390625,86215.4140625,-198242.859375,78516.09375
186477.6752571,-87900.6015625,-122752.15625,59971.921875,-7435.39697265625,127599.3125,86238.3515625,-199233.296875,78594.3203125
186477.67529,-87498.2734375,-122503.3828125,59828.87109375,-7567.72021484375,127529.578125,86153.859375,-199088.15625,78556.3203125
186477.6753224,-86872.421875,-121839.984375,59697.26171875,-7518.09912109375,127485.5859375,86111.6171875,-198584.390625,78528.3828125
186477.6753606,-86559.5,-121449.0546875,59737.31640625,-7162.48193359375,127513.484375,86120.0625,-198268.46875,78502.6796875
186477.6753879,-86760.6640625,-121543.8203125,60009.11328125,-6533.951171875,127599.3125,86217.828125,-198285.546875,78506.03125
186477.6754126,-87878.25,-122799.546875,59971.921875,-7443.6669921875,127597.171875,86239.5546875,-199258.921875,78586.5
186477.6754497,-87431.21875,-122491.5390625,59820.28515625,-7575.990234375,127533.8671875,86158.6875,-199079.609375,78551.8515625
186477.6754833,-86838.8984375,-121851.828125,59688.6796875,-7542.9091796875,127487.734375,86112.8203125,-198592.921875,78516.09375
186477.6755201,-86514.796875,-121437.203125,59737.31640625,-7162.48193359375,127512.4140625,86122.4765625,-198251.390625,78484.796875
186477.6755484,-86794.1953125,-121614.90625,60011.9765625,-6525.68115234375,127601.4609375,86220.2421875,-198336.78125,78492.6171875
186477.6755765,-87878.25,-122835.0859375,59977.64453125,-7443.6669921875,127587.515625,86231.109375,-199284.53125,78566.3828125
186477.6756095,-87464.7421875,-122562.6171875,59828.87109375,-7575.990234375,127522.0703125,86141.7890625,-199130.84375,78523.9140625
186477.6756782,-86838.8984375,-121875.5234375,59697.26171875,-7542.9091796875,127477.0078125,86099.546875,-198601.46875,78490.3828125
186477.6757163,-86525.96875,-121472.7421875,59748.76171875,-7170.7529296875,127499.5390625,86112.8203125,-198268.46875,78454.625
186477.6757721,-86771.84375,-121603.0546875,60029.140625,-6533.951171875,127593.953125,86220.2421875,-198311.15625,78469.1484375
186477.6758037,-87878.25,-122846.9296875,60009.11328125,-7435.39697265625,127596.09375,86243.1796875,-199284.53125,78556.3203125
186477.6758409,-87453.5703125,-122562.6171875,59863.203125,-7559.44921875,127536.015625,86162.3125,-199113.765625,78520.5625
186477.6758744,-86850.0703125,-121911.0625,59720.15234375,-7518.09912109375,127483.4453125,86114.03125,-198610.0,78480.328125
186477.6759202,-86481.265625,-121437.203125,59771.6484375,-7145.94189453125,127515.6328125,86133.34375,-198225.78125,78453.5078125
186477.6759498,-86794.1953125,-121650.4453125,60040.5859375,-6533.951171875,127608.96875,86235.9375,-198328.234375,78469.1484375
186477.6885465,-87889.4296875,-122870.625,59997.671875,-7435.39697265625,127597.171875,86249.2109375,-199284.53125,78547.3828125
186477.775354,-87460.2265625,-122596.1015625,59840.08984375,-7580.9072265625,127522.515625,86156.2265625,-199122.34375,78505.3203125
186477.7754195,-86795.0390625,-121885.1796875,59720.28515625,-7538.88623046875,127486.0390625,86114.65625,-198570.34375,78475.8125
186477.7754592,-86484.6171875,-121461.125,59768.20703125,-7152.2900390625,127516.4375,86128.515625,-198228.640625,78445.4140625
186477.7754899,-86728.5234375,-121598.3203125,60040.765625,-6555.587890625,127603.0703125,86228.2890625,-198281.203125,78455.25
186477.7755888,-87870.4296875,-122858.015625,60013.80859375,-7454.8427734375,127606.109375,86253.234375,-199271.296875,78537.5
186477.7756146,-87426.96875,-122558.6796875,59873.03515625,-7555.69384765625,127546.828125,86178.3984375,-199069.78125,78504.421875
186477.7756661,-86850.4765625,-121922.59375,59738.2578125,-7496.86376953125,127498.1953125,86135.4453125,-198587.875,78471.34375
186477.7756983,-86528.96875,-121511.015625,59795.1640625,-7127.0771484375,127527.0703125,86159.0,-198246.15625,78447.203125
