Timestamp,FP1_Delta,FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Delta,FP2_Theta,FP2_Alpha,FP2_Beta,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,CZ_Delta,CZ_Theta,CZ_Alpha,CZ_Beta,FZ_Delta,FZ_Theta,FZ_Alpha,FZ_Beta,C4_Delta,C4_Theta,C4_Alpha,C4_Beta
184047.2754917,55.708458635259426,23.00105301180379,17.773617031725287,12.41288389149916,79.6276504243319,37.41741821600146,21.777140440778478,21.427217190398895,189.17260259028572,36.47588671319285,28.087007055250034,11.463406809339949,5058.883890390663,41.763592974252425,31.895670571758124,30.60772057686817,811.7179398680239,75.84501132566656,24.217890648748917,15.036852555989721,224.31250139088462,34.57700494528065,24.770488666255023,14.077628981800984,1949.4314485624677,194.049954233942,63.21900322653762,133.39753513974716,786.2010982244248,79.98247678615182,37.13308419014102,18.330920490537025
184047.3547087,31.494404873669794,23.061471123934588,17.76474362996079,12.388822629530338,65.5784439834766,37.49475058253935,21.782166786482428,21.394381538585733,157.3235937680609,36.30258801138694,28.01189267151407,11.469902753720811,1079.3381301061677,41.642646226248544,31.899055335246338,30.600707437389467,823.4486673786876,76.7165406842315,24.31283283974095,15.01444744949826,157.2783527733605,34.60314418031982,24.81518845061624,14.035141668378937,1762.6037310969552,193.75611969693537,63.26726859620792,133.24494238224375,819.0919967690168,80.12867594885587,37.16508743349202,18.30616108944387
184047.3547927,45.987318481210295,23.12879930546303,17.77555220298918,12.39095598918747,110.05002264459183,37.57036003316592,21.787883492115796,21.36218299337288,294.4189528560613,36.10022711198587,27.940101649685765,11.476811571729579,5377.18136259373,41.50328193229416,31.830972874627157,30.591630180291926,864.3392662406195,77.26946587364631,24.335430610669338,14.997461747490513,198.94079937337887,34.637024361092635,24.857352667318843,13.989030980202726,3124.951041453388,193.37628624149298,63.32640271102672,133.21785006869354,860.8211408453953,80.25166277950359,37.19511515923879,18.28032149096954
184047.3548313,42.93675336511848,23.204771025298392,17.769316386438632,12.375288607629777,116.78791674450464,37.65493791730836,21.788909626700704,21.3278069415008,315.08474165756195,35.992660296669854,27.871860508850503,11.484654337826075,1251.2892992345248,41.50299774579348,31.77172631695367,30.573370357619844,914.1237348749191,78.2259327206328,24.391055770155322,14.947014831140583,156.314111493124,34.65571378842891,24.90550429016728,13.940785405217516,3344.6140698159033,193.19974709924782,63.41415640616034,133.11441879995263,837.7476060702068,80.41892344133664,37.225900064644975,18.25382124001382
184047.3548828,41.572539353779604,23.292058002084833,17.75645335802782,12.352313195779983,72.11628050575328,37.76002899703522,21.789700576037642,21.292626639863443,146.16133931617827,35.957405488107504,27.805856633155734,11.486339596433513,3622.354060209509,41.806345023841594,31.722621131584717,30.55948021187693,868.5626901585624,77.90297909003046,24.413305382561227,14.98575989720838,224.76961939550245,34.69881953789531,24.959456362506028,13.905516726087164,1996.1281595092698,193.76592758858135,63.49916378967613,133.01818730058088,787.0981492536228,80.61354889331966,37.25781680358966,18.226828337876075
184047.3549088,58.57193425441851,23.374733741630294,17.748211443717395,12.33589317370551,84.7882089531953,37.85027198276416,21.784244069586617,21.254356290436323,196.1007510554216,35.956073707098014,27.733956594933865,11.499373446944345,4926.3889627662475,41.88144756094898,31.653827859723066,30.544338179543182,831.5421265751232,78.11967452312575,24.488590595164364,14.986824190390683,235.3069605859802,34.70597247667773,25.00167922279702,13.861598323525381,2020.4213422251776,193.96988324762742,63.577300560548814,132.90844094169853,788.4824265586424,80.78496572330062,37.28912163083049,18.198874953833393
184047.3549338,36.529613985357265,23.444597842510078,17.745700078777645,12.325940006673514,73.45083445964218,37.935473566682404,21.786472201111437,21.219005016166644,159.07233479359297,35.80784135389298,27.658063090256604,11.50501405525547,1041.8654652141984,41.73400776968406,31.62994827852437,30.534055798864415,842.9177041942944,78.85547762633543,24.564976922218925,14.95640452613326,164.29398476638337,34.73486774776644,25.046202586011088,13.817964033974397,1871.290873079401,193.34268958891553,63.635662051921145,132.78657927707647,810.045994292947,80.90484353750207,37.31764555894546,18.16962551278068
184047.3549587,49.508900244169524,23.514205421689912,17.73631212068071,12.310386687954171,111.18032264144709,38.011620803328086,21.783035395726177,21.181722758521822,286.46731095612955,35.62935380778263,27.587505468592077,11.51023921385135,5433.810079045644,41.65921457189663,31.53288527005516,30.519495278230078,870.1746079086406,79.05736536516171,24.557124037169036,14.955207656479624,192.00699068204295,34.758880034748664,25.08734797849608,13.770137241322773,3371.9308488822307,192.5119825586968,63.72848925730404,132.66604247465153,843.6131538126167,81.00617106102024,37.34449102850611,18.139612436000643
184047.3549836,41.4992560677927,23.59709035114393,17.724493707305445,12.29309269611119,94.31012207491202,38.105108078007376,21.778544798775503,21.143256079671847,312.7707194331422,35.513555923379435,27.519458395710917,11.515449630003472,1402.0059243601263,41.73632642103815,31.505830641648885,30.504177514127953,907.6465363727393,79.80181936355602,24.62932445076599,14.928933481186176,155.99655343087628,34.77883956319131,25.13114567860604,13.722872225126645,3348.183904847055,192.4303306346827,63.81610203203075,132.52929682316713,819.5362500092284,81.12628223174231,37.3720474260441,18.109255420228003
184047.3550082,50.50297861070407,23.657865452133517,17.66947458806745,12.224317097778739,76.58097770011776,38.204092993796785,21.772238826495546,21.102094683967557,152.33925374493612,35.46150848341528,27.44864899587054,11.519193010386607,3517.8584500966394,41.96098734634158,31.470406192134508,30.487878094262275,884.2577452815151,79.77519100424195,24.657296817981663,14.932044457431365,244.56919174735754,34.81789188671643,25.174342300232013,13.683708010532303,1993.828571195557,193.2442229023411,63.87449532107679,132.38783057578007,776.1667685607658,81.27098184015077,37.40080374285331,18.07823870439127
184047.3550327,64.73301560152012,23.76131759687889,17.69474564930574,12.253104988973737,79.71997703527603,38.28782646542504,21.763499084192876,21.0631536823649,199.8511339885559,35.41843594754407,27.38195415090841,11.526217037689403,5074.696384290608,41.91944858961644,31.396668164161635,30.470543219382847,859.8069496002734,80.21340346729569,24.7532637246031,14.913726528244714,256.30801259377256,34.840481898829466,25.215118129624887,13.638725972887444,2129.3597581416225,193.65009092707044,63.93742201669539,132.23899866175128,777.4760018840665,81.40046770732016,37.42820782932653,18.046252479367627
184047.3550573,33.05567407133232,23.793403113932342,17.634397321560247,12.190642773617896,70.63053940792781,38.33633365118186,21.740482021802844,21.012885023097525,158.53842757835147,35.30364097706619,27.308492963006096,11.529667217154316,1044.6816811614835,41.80107329131596,31.320459904858676,30.451529859139413,868.4654360714003,80.79223308474324,24.801528734971328,14.877662790197084,165.90210971326064,34.870563459508915,25.25844320455586,13.593636666504182,1885.978465574316,192.92641172618957,64.0346784586164,132.09303308652534,793.1762870025843,81.5051866796317,37.45373451360784,18.013582750981673
184047.3550835,38.76482251340305,23.916148875482584,17.669044179256463,12.225155301717793,94.82708153726931,38.45939672177981,21.745992440310854,20.981939265315972,311.4233736999571,35.16327295364033,27.24156541672974,11.532450653994639,5425.194796885003,41.834593444290626,31.233114929048998,30.42636166449828,879.8144629420283,80.77068390380279,24.77931389804081,14.892275059654786,192.55824369988673,34.87873954593987,25.295243602920262,13.54432302258158,3102.5141548129627,191.83653130613996,64.15243237999796,131.94196086275048,820.1553352447659,81.60426724948803,37.47868233325115,17.980448099946983
184047.3551088,39.578842641294955,23.994803342591528,17.643152166531543,12.195289636192225,104.97294762611182,38.55369246183192,21.735446614990813,20.939935404968004,337.9825094885858,35.0473724179923,27.173061021783024,11.53549610968761,1451.4698190479974,41.94799875299518,31.212065024668483,30.41307825129754,923.5697668929471,81.59855987547886,24.845957557076044,14.85772359126733,147.32616246821453,34.89102988284579,25.33188570232429,13.497080624491922,3348.534945778534,191.64455707997934,64.2345078204678,131.77355793856893,805.5257091639224,81.70091825213714,37.50348609080013,17.94658485324455
184047.3551339,48.12318579915461,24.038955485441143,17.571462365888046,12.114231803467026,89.54812320737574,38.61836483366085,21.68770263031037,20.84622804379264,164.98526817635616,34.95151420447474,27.100872545536756,11.538985670648755,3375.9296383045485,42.045000626087734,31.182986185677063,30.394138022466638,911.3300416411182,81.74356575359509,24.888274265579565,14.85012394107025,215.98069417446928,34.93965118420278,25.37060159864204,13.457193759491156,2007.4875511379823,192.57976589001098,64.2899862951307,131.60190679836745,782.9405453169089,81.78984368150125,37.52689434471769,17.91172557267505
184047.3551584,60.80509505766737,24.15211763270528,17.613516259806243,12.167731087958366,90.38937576567146,38.723502671622114,21.70840664807946,20.85361532649755,189.92389225456867,34.871817059109475,27.03186589625783,11.542517050076412,4782.4990137165205,41.89914550119671,31.10864774240381,30.37380646995731,893.1335722184288,82.10504763018803,24.959013318777025,14.826832168058335,234.18177480177172,34.97187877093924,25.4082792747703,13.411489799263293,2314.5184712581536,193.02126319475255,64.3599071949872,131.42421571831812,801.330407931695,81.86746315733919,37.54860249209059,17.876535537097826
184047.3551828,34.514898952065195,24.22010615319312,17.574719630950447,12.127945419400223,71.9014750656704,38.80195481729042,21.69272940392975,20.810112253419753,150.25420356802854,34.79597400975639,26.966916744104577,11.543999763152579,1102.7964601173549,41.85419487041697,30.996570091727968,30.34601356752108,902.598816091851,82.6907329198264,25.006078711377466,14.782703738722617,154.7697196498239,34.99566842637995,25.441356637471184,13.357664957750682,2040.8015310888527,192.3560949190703,64.46410924026858,131.2407593106088,802.959118905175,81.94757646106434,37.570605448835195,17.84125649417982
184047.3552074,42.87293980942434,24.32207193306397,17.57553567995305,12.136515086882305,103.6386644636932,38.895249050697224,21.676771928937058,20.76610439397545,305.4170081482201,34.709218392913506,26.903362616300562,11.545152639000538,5861.277787555503,41.99805637090183,30.938241032658464,30.322970368416968,906.2985175307226,82.60323294299285,24.98049839315123,14.798332879697973,180.78812808904308,34.98999748912918,25.477784230885298,13.316056753649532,2543.755487113229,191.4067011223321,64.57239339164232,131.05036091569784,815.093461551165,82.03258249820567,37.592978310122774,17.805435847268175
184047.3552328,40.272184089684814,24.391121567963857,17.529208255983647,12.087527471528183,101.51988362693126,38.990223524798935,21.6600558205924,20.721284856513552,337.35883486698253,34.60119645185164,26.83550222352427,11.546291543015059,1679.0973722584674,42.09614757209508,30.89768101205887,30.299788361920246,947.9535854689648,83.41676570082832,25.040590695596688,14.759611869218576,147.32741020157394,35.007736552936734,25.50977182270451,13.270152475625792,2757.9793792105997,191.2381561603201,64.65390075942153,130.85939543304883,803.8872761324808,82.099410907874,37.614047192594825,17.768824970588263
184047.355259,46.87952460298986,24.42653412331025,17.455466409275576,12.010689092781702,83.16688665443571,39.03086043587075,21.593182729910183,20.609706210817357,169.18229340588124,34.46240060269212,26.764603535529673,11.548031153026528,3108.2415251983643,42.03677525351533,30.83819704948737,30.274786342547987,941.7510210328046,83.59324756843407,25.07887299825384,14.745532439745002,252.54392315128462,35.04765275886805,25.54106443637285,13.228116509854674,2150.637920399361,191.9340031736526,64.73229371510111,130.66260181317514,792.0800967831009,82.12479726226617,37.63169984838305,17.731791927038657
184047.3552832,55.83665238862873,24.537964704180077,17.493005573104146,12.064216441036608,82.66517014981332,39.12014196641698,21.588186920680673,20.58461584000563,219.05289393659075,34.35583176949397,26.70111066215822,11.549017511719962,4548.825002980998,41.85838597373535,30.790614580232713,30.247563322548018,921.3472392497902,83.710482682,25.130834510496143,14.733307036704447,272.24024965951304,35.087499188962745,25.57449233644559,13.182061105257246,2357.8757923188555,192.16222197622673,64.82797584742208,130.45862385978182,811.246743399498,82.14832783328373,37.64862318441474,17.694584506688113
184047.3553121,33.98790656754875,24.61397065458599,17.451375748590593,12.026415371896189,75.57577178889468,39.205531019888795,21.59079718460819,20.57919821497123,155.76303643386143,34.305441764681895,26.640214451574195,11.54917801691457,1058.7942547322427,41.897951894507365,30.672785954970124,30.222325680584788,925.7554970653207,84.05580079645178,25.170947267956414,14.70986209262996,152.81666355701404,35.10410640347942,25.589055503665787,13.113432583300423,1964.6081316724526,191.3943807878473,64.93414761432292,130.24134665813693,806.2019338944556,82.21591300334823,37.667199653273784,17.656877088293957
184047.3553367,47.78404626853573,24.733282193357205,17.4569387998286,12.044445586189315,107.51899593984866,39.32188944524347,21.57740203704341,20.5376889572335,286.67710412069323,34.26942988804685,26.577005389787626,11.549325573919416,5524.175805027119,42.12011591143853,30.643884255274173,30.203755531952734,944.5368027784502,84.27564848695835,25.14972164374242,14.686072425000852,157.21930309598062,35.09390176407682,25.63096698774784,13.08843846287386,3248.02245632339,190.45268555118082,65.0301199443191,130.01952766094877,821.2840060382433,82.28507465849822,37.68534014015376,17.618661691985157
184047.3553618,47.46268871635085,24.817624915380943,17.430271118299785,12.02416625298378,95.56230980850204,39.40535479274009,21.553988627789675,20.490878726213953,327.3495705351486,34.166103970870324,26.51146901979596,11.54864696821343,1508.1426336361874,42.15618945935207,30.5652535697971,30.170338755053745,996.3115231551999,85.41464960815698,25.227649731706645,14.613137482111284,141.79319028577726,35.100882611951924,25.65715561279989,13.042815358763507,3269.1313998999094,190.35891145479013,65.11615942361996,129.80689868252784,814.0261429689908,82.31599915797898,37.70171288881224,17.58031114248931
184047.3553982,46.05333536172559,24.771076894546333,17.244495208134143,11.835563709028428,80.34191379759726,39.44194906719332,21.49309494048486,20.39433929214944,161.20122913255105,33.99836324738735,26.446761000048948,11.54797730003633,3120.398054909852,41.98906138008871,30.473436933244823,30.141602652003552,976.925971013941,85.26229666399871,25.26934698827532,14.624337729873496,255.6615236405393,35.140564887307704,25.68307523139322,12.999434574261507,1963.9030161703463,190.920833919849,65.2263762858847,129.5763849204543,797.6371935891586,82.28040667220073,37.71543088514859,17.542064051068046
184047.3731712,60.898373751373995,24.89540878186598,17.30399205434067,11.9076850683392,83.33034803595822,39.53766180500842,21.501953628115583,20.396956946989956,208.73190443524754,33.86849472100603,26.38887412018016,11.547102520764682,4572.755391523087,41.844321417123645,30.446515082727256,30.111684125758824,963.4943317905409,85.34491555741516,25.325189662243417,14.604449035088834,279.3080282004146,35.18871152043618,25.71198650439451,12.953575548108777,2180.379503798975,191.0409682286471,65.33977473685246,129.34602441484702,807.2085549998891,82.25495161815172,37.728853681575586,17.503406758245124
184047.4712254,35.85612691044804,24.94142263268579,17.23053821870949,11.849057412254728,74.42120899024286,39.60554868070243,21.468719526769483,20.34419986137768,146.8753785756594,33.83415922200576,26.328541023296324,11.54582141221107,1002.8142608969197,41.902821722372956,30.349221158071156,30.086675866559105,970.2946324760663,85.73742081793469,25.367418434430643,14.565795369692516,148.06624021601107,35.194820113846994,25.707480741339612,12.87377284854257,1963.9494413790549,190.5337376800725,65.43988536567872,129.1111271433284,805.3925201335367,82.2762838496032,37.74223897498549,17.46409698220221
184047.4712693,44.391729058561786,25.12515841482937,17.316967420941236,11.955561622570944,114.09807485920474,39.72722357658283,21.44905228783847,20.30077020432103,274.01179816404516,33.82051226710399,26.265829233811544,11.544556506923957,5781.282342670691,42.15972539563983,30.320636532920958,30.060101963067893,974.9173081744804,85.70911490281094,25.32045606258965,14.56285205102467,145.66345550927844,35.186461858130954,25.75363070125409,12.863248653158859,2918.491826121424,189.93958712031457,65.52735677907467,128.87465371031539,818.9782587066883,82.31276061744067,37.754905843520326,17.424583431992005
184047.4712992,41.661594925424936,25.202764188097877,17.286162459223632,11.937052856062804,113.65047752540141,39.80842671187352,21.41930784117495,20.252590155991918,300.20008010037674,33.726160073951135,26.207519171751414,11.542106855817213,1841.2219347913044,42.15503695031815,30.21683653657336,30.029746874977093,1038.392979555771,87.16682524302288,25.401309864134614,14.453568043076535,151.5961543672449,35.1986574946135,25.77615131191402,12.818109982267217,2951.9939367864868,189.7732126246838,65.62888194986385,128.63068653181801,815.1889507783328,82.30063759757033,37.7660933741973,17.385231987349492
