Timestamp,FP1_Delta_Relative_Z,FP1_Theta_Relative_Z,FP1_Alpha_Relative_Z,FP1_Beta_Relative_Z,FP2_Delta_Relative_Z,FP2_Theta_Relative_Z,FP2_Alpha_Relative_Z,FP2_Beta_Relative_Z,O1_Delta_Relative_Z,O1_Theta_Relative_Z,O1_Alpha_Relative_Z,O1_Beta_Relative_Z,O2_Delta_Relative_Z,O2_Theta_Relative_Z,O2_Alpha_Relative_Z,O2_Beta_Relative_Z,C3_Delta_Relative_Z,C3_Theta_Relative_Z,C3_Alpha_Relative_Z,C3_Beta_Relative_Z,CZ_Delta_Relative_Z,CZ_Theta_Relative_Z,CZ_Alpha_Relative_Z,CZ_Beta_Relative_Z,FZ_Delta_Relative_Z,FZ_Theta_Relative_Z,FZ_Alpha_Relative_Z,FZ_Beta_Relative_Z,C4_Delta_Relative_Z,C4_Theta_Relative_Z,C4_Alpha_Relative_Z,C4_Beta_Relative_Z
186479.1395461,-1.6358745345784123,0.7943172141109569,2.102996429062773,2.383725306326514,-0.5208070706273292,0.599542994465928,0.5516196902657702,-0.10000752410598056,0.08540113163132242,0.4180122225851693,-0.5449838959551162,-0.5490508543233945,0.8555106651354515,-0.7367438827142591,-0.881004949006049,-0.7306839292025619,-1.3030843066049642,1.6549170197346468,0.8042958315788052,0.7052091208993649,1.3983835184197586,-1.7345780471686576,-0.998124748021887,-0.5497730614747125,0.43325046220911967,-0.3410598035407485,-0.4139681595662546,-0.5597130970698533,0.6872201344150577,-0.6544077174730363,-0.6208301983580405,-0.5997059610493752
186479.2249796,-2.1710333491625855,1.8532442731491805,2.403643378265791,2.327805130312805,-0.5903447607117952,0.8810366284051362,0.3418968057673341,-0.031147732510305802,0.4782986627950731,-0.2912219835166621,-0.649284222197903,-0.621494724104689,0.7963210698912982,-0.8089924234997418,-0.7379795919730122,-0.78256021126817,-0.5632449781111522,0.7021601923143359,0.30536130873712486,0.7880449226652602,1.1511840731196685,-1.4594358173937225,-0.8189945490068772,-0.6554922682058771,0.3294040650547402,-0.29241909531186777,-0.3255936045137405,-0.45994440805073716,0.5694152171247551,-0.5843717741466575,-0.5190495250787176,-0.5652107088382872
186479.2250665,-1.622635411423421,0.8732599728975836,1.9975075446634345,2.3884837882046517,-1.255783561662041,1.6010672164927118,1.0301087186878972,0.19548217085389938,0.5806980828371576,-0.2781717253914388,-0.8224183433030993,-0.6929287416974869,0.7313049083117885,-0.5512284104600998,-0.840945629947691,-0.7226450119203127,-0.5918709347220378,0.7570996119416946,0.341066078025085,0.44881265874171034,1.5269606250504948,-1.890332310414104,-1.109763197779417,-0.7785318351179709,0.17994572160699748,-0.16839177175285183,-0.156294816649441,-0.20100761784313775,0.4513805700010609,-0.34330258331349567,-0.4392603536967685,-0.6376654112213546
186479.225099,-1.4956088177910307,0.6287432808760732,1.9446434034330426,2.363488528062909,-1.1914609158970038,1.3565760858359965,1.0662271394305067,0.3511664413247688,0.3227652159645317,0.20743321043798307,-0.766583078068727,-0.7638285115706661,0.459844875395826,-0.32737368253551197,-0.4867806896970556,-0.570124759066161,-0.6996713005376456,0.9638206237760284,0.3425330739430856,0.35198739986940975,1.7824967441287247,-2.1018001675577813,-1.3554974402287197,-0.8636177434019111,0.3022710122005698,-0.3242528864234958,-0.26037225733431996,-0.17496427548844237,0.5193631865360244,-0.40314646440929,-0.4841701514778114,-0.6941070797299078
186479.2251322,-1.7391791528442366,1.0635294483072715,2.216701122182998,2.1595741416736347,-0.4803102491936328,0.6863083780272687,0.3509319942015684,-0.20799892740782247,-0.03828294304297851,0.47405057185859845,-0.3320369803094598,-0.6174760878073269,0.6558849160284481,-0.49535300858811715,-0.7289546385659162,-0.762584704196338,-1.1368018363385306,1.3185521906057842,0.7141566490281998,1.1553374256216629,1.478367513463546,-1.8439738567143296,-1.0504298419008928,-0.5747790974777268,0.48730963713080855,-0.4209653397904753,-0.4775832865629464,-0.5500322056316037,0.773012114796576,-0.7821483837059989,-0.6927850180735512,-0.6020405447744804
186479.2251699,-1.6520351976045378,0.8069214803397802,2.1363503396206593,2.4260121702833244,-0.5056511875652607,0.5539170318914879,0.5501929497919779,-0.08042952058792614,0.17177322604846032,0.28627858102175346,-0.6046167135903855,-0.5526428914121243,0.8481180810793165,-0.7304059164253899,-0.8640519164393798,-0.7362780435854948,-1.318194215541404,1.7322201903185224,0.7507744372766355,0.593669260310761,1.4014695619764737,-1.7296600340701715,-0.9804860226735034,-0.5430649601684666,0.4619628270449172,-0.3829385201395546,-0.4312339713058477,-0.5605164495147604,0.5925569045620347,-0.5363328129364289,-0.5569291026801567,-0.5467495653253128
186479.2251919,-2.248496650054676,1.9821821531615933,2.441741023284614,2.3238782621396696,-0.5496560811602234,0.8421614843820799,0.3016242281491126,-0.044206332038253075,0.4847293645601676,-0.31232924373607135,-0.6368717247934451,-0.6305193235295279,0.7684477428832215,-0.7776352820507341,-0.7175890440032412,-0.7707106326087241,-0.39898534955174336,0.45740851504137753,0.21510987968885953,0.7987492471437383,1.160297885754184,-1.480340325619108,-0.8166079635722302,-0.7005882997469886,0.34643271959510824,-0.302136818885375,-0.3533378344017701,-0.4744239997678786,0.43723036797395975,-0.409310482293762,-0.43406856435189956,-0.5021789215920368
186479.2252177,-1.7083604573829847,0.9876794496625694,2.0706116686865803,2.4130988794075536,-1.2175225634483176,1.6052980762535851,0.9540341184995932,0.13354271938848494,0.5778702191926329,-0.29599314217386213,-0.7986285979488539,-0.6865709740500312,0.7339181183480681,-0.5641134808212226,-0.8434990635605245,-0.7006170305193082,-0.47263514504041443,0.5843478156372466,0.26864509895570665,0.44084236466758586,1.5275610622507152,-1.899969963930713,-1.1019733752376113,-0.7842733429164512,0.1976944362721374,-0.16815873426596023,-0.1858040009389834,-0.24293088417989975,0.3614743298081648,-0.24909002036164396,-0.36338584845590743,-0.5730917317979337
186479.2252479,-1.5682190022450473,0.7133932165670992,2.0179703654594694,2.4220100400301825,-1.1050373817228858,1.2767473487392782,0.9741239255983549,0.25665530697205197,0.37533286521311376,0.12029160350643898,-0.8149585059527336,-0.7153585452407624,0.4516659767999335,-0.343219933471132,-0.46171261869563857,-0.5391118024287265,-0.7486468587990084,1.0763337499253962,0.33583118404491275,0.2831571056170653,1.7395424430610562,-2.0648254597390134,-1.2955698607500425,-0.8168411672345421,0.3218448745380531,-0.3474378070693524,-0.2666466946579311,-0.19857375937823815,0.5335170831547842,-0.4312827184587129,-0.4890377950463918,-0.6919371783370317
186479.225298,-1.6451879273737229,0.9044562821441794,2.1614079989064963,2.2056405794247307,-0.42650105098675745,0.5655003678972583,0.37675548744518444,-0.23260372311786595,-0.017511847240114033,0.4851089794452329,-0.41112267616048065,-0.6065042402320185,0.6983629637952259,-0.5334443553858753,-0.7660133551222614,-0.7843166220683694,-1.3250344151368925,1.5696002152853799,0.8368016078411626,1.081191346264623,1.410338131217406,-1.7507802403801942,-0.998185644621903,-0.48767419032071035,0.5377529549320732,-0.47181066304630714,-0.515001981698056,-0.5819453324582093,0.7677811907927827,-0.7686305859596727,-0.6846414365901424,-0.5937878174921786
