Timestamp,PPG
186478.52528,42873.0,83908.0
186478.6235599,42885.0,84015.0
186478.6235727,42892.0,83947.0
186478.6235809,42900.0,84011.0
186478.6235887,42853.0,83599.0
186478.6235972,42905.0,84019.0
186478.6236051,42888.0,84051.0
186478.6236129,42897.0,83967.0
186478.6236207,42895.0,84031.0
186478.6236284,42859.0,83599.0
186478.6236358,42901.0,84035.0
186478.7244324,42885.0,84015.0
186478.7247468,42892.0,83947.0
186478.7247623,42897.0,83999.0
186478.7247812,42853.0,83599.0
186478.7247974,42885.0,83915.0
186478.7248161,42888.0,84051.0
186478.7248343,42897.0,83967.0
186478.7248528,42890.0,83939.0
186478.7248734,42859.0,83599.0
186478.7248892,42880.0,83867.0
186478.821249,42907.0,84060.0
186478.821261,42907.0,83996.0
186478.8212688,42862.0,83756.0
186478.8212763,42863.0,83624.0
186478.8212838,42866.0,83684.0
186478.8212912,42889.0,83984.0
186478.8212986,42891.0,84032.0
186478.8213061,42883.0,83760.0
186478.821345,42870.0,83608.0
186478.8213968,42859.0,83704.0
186478.9229148,42907.0,84060.0
186478.9229274,42907.0,83996.0
186478.9229356,42875.0,83736.0
186478.9229439,42863.0,83624.0
186478.922952,42855.0,83704.0
186478.9229599,42889.0,83984.0
186478.9229677,42891.0,84032.0
186478.9229755,42867.0,83744.0
186478.9229839,42870.0,83608.0
186478.9229918,42868.0,83732.0
186479.0243152,42885.0,84015.0
186479.0243273,42892.0,83947.0
186479.0243351,42870.0,83747.0
186479.0243425,42853.0,83599.0
186479.0243505,42870.0,83743.0
186479.024358,42888.0,84051.0
186479.0243653,42868.0,83747.0
186479.0243724,42871.0,83743.0
186479.0243797,42859.0,83599.0
186479.0243873,42859.0,83739.0
186479.1398228,42885.0,84015.0
186479.1398354,42865.0,83795.0
186479.1398442,42870.0,83747.0
186479.1398521,42853.0,83599.0
186479.1398598,42871.0,83815.0
186479.1398765,42888.0,84051.0
186479.139885,42879.0,83819.0
186479.1398929,42871.0,83743.0
