sec_index,ema_x_norm,ema_y_norm,screen_w,screen_h,timestamp
3,0.36435843609788154,0.8062155095786838,1280,593,1786035132.6172972
4,0.32129421243476053,0.7956396275590487,1280,593,1786035133.4105573
5,0.3204688493619222,0.7953087808981356,1280,593,1786035134.7891264
6,0.3229191687543239,0.773457081709269,1280,593,1786035135.5003734
8,0.34063482699262404,0.6354334042575555,1280,593,1786035137.576372
9,0.4017507677251877,0.6158809928036199,1280,593,1786035138.9595096
10,0.5260095652308356,0.45355396363133416,1280,593,1786035139.6454701
11,0.6115799877209471,0.3678443126101938,1280,593,1786035141.0311387
12,0.6331527323654398,0.23564236416346634,1280,593,1786035141.869405
13,0.5916803268034291,0.2654841020371119,1280,593,1786035143.2220175
14,0.46262445037444727,0.20944598158253158,1280,593,1786035143.9972968
15,0.4217861626549387,0.25792684235832863,1280,593,1786035145.2690637
16,0.49886077467595846,0.26173397984643293,1280,593,1786035146.013477
17,0.4365873756840196,0.3655955624538033,1280,593,1786035147.4060652
18,0.3115319207609431,0.5603111615098643,1280,593,1786035148.1148663
19,0.5107017265105565,0.5486241139182704,1280,593,1786035149.4319594
20,0.6112741791700914,0.462128389328032,1280,593,1786035150.2064834
21,0.42461176344639157,0.6473692392739484,1280,593,1786035151.5527604
22,0.3129056225148964,0.6307428159276309,1280,593,1786035152.3084326
23,0.40136106101712526,0.529892363794337,1280,593,1786035153.672045
24,0.30410962001829106,0.4662243410311626,1280,593,1786035154.3815753
25,0.21813129442426038,0.578009481941376,1280,593,1786035155.6908286
26,0.30375622957798964,0.5088500717813527,1280,593,1786035156.4076357
27,0.37730069738181765,0.561329816497555,1280,593,1786035157.721663
28,0.32393706322852567,0.5033395118942001,1280,593,1786035158.460483
29,0.3103083342089854,0.5238613680577282,1280,593,1786035159.8235767
30,0.29408954842338514,0.6049063643290842,1280,593,1786035160.5883758
31,0.45791237497062665,0.6196386788417946,1280,593,1786035161.9610367
